Sample in Buffer,Sample in Window,TRIGGER,ts_valid_d2,ts_coarse_d2[31:0],ts_fine_idx_d2[8:0],psdone,current_loop_cnt[8:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED,HEX,UNSIGNED
0,0,0,1,3643a5a4,3,0,350
1,1,0,1,364468f4,3,0,350
2,2,0,1,36452c44,3,0,350
3,3,0,1,3645ef94,3,0,350
4,4,0,1,3646b2e4,3,0,350
5,5,0,1,36477634,3,0,350
6,6,0,1,36483984,3,0,350
7,7,0,1,3648fcd4,3,0,350
8,8,0,1,3649c024,3,0,350
9,9,0,1,364a8374,3,0,350
10,10,0,1,364b46c4,3,0,350
11,11,0,1,364c0a14,3,0,350
12,12,0,1,364ccd64,3,0,350
13,13,0,1,364d90b4,3,0,350
14,14,0,1,364e5404,3,0,350
15,15,1,0,364e5404,3,0,1
16,16,0,1,364f1754,3,0,1
17,17,0,1,364fdaa4,4,0,1
18,18,0,1,36509df4,3,0,1
19,19,0,1,36516144,3,0,1
20,20,0,1,36522494,4,0,1
21,21,0,1,3652e7e4,4,0,1
22,22,0,1,3653ab34,3,0,1
23,23,0,1,36546e84,4,0,1
24,24,0,1,365531d4,3,0,1
25,25,0,1,3655f524,3,0,1
26,26,0,1,3656b874,4,0,1
27,27,0,1,36577bc4,3,0,1
28,28,0,1,36583f14,3,0,1
29,29,0,1,36590264,3,0,1
30,30,0,1,3659c5b4,3,0,1
31,31,0,1,365a8904,4,0,1
32,32,0,1,365b4c54,3,0,1
33,33,0,1,365c0fa4,3,0,1
34,34,0,1,365cd2f4,3,0,1
35,35,0,1,365d9644,3,0,1
36,36,0,1,365e5994,3,0,1
37,37,0,1,365f1ce4,3,0,1
38,38,0,1,365fe034,4,0,1
39,39,0,1,3660a384,3,0,1
40,40,0,1,366166d4,3,0,1
41,41,0,1,36622a24,3,0,1
42,42,0,1,3662ed74,3,0,1
43,43,0,1,3663b0c4,3,0,1
44,44,0,1,36647414,3,0,1
45,45,0,1,36653764,4,0,1
46,46,0,1,3665fab4,3,0,1
47,47,0,1,3666be04,3,0,1
48,48,0,1,36678154,3,0,1
49,49,0,1,366844a4,3,0,1
50,50,0,1,366907f4,3,0,1
51,51,0,1,3669cb44,3,0,1
52,52,0,1,366a8e94,4,0,1
53,53,0,1,366b51e4,3,0,1
54,54,0,1,366c1534,3,0,1
55,55,0,1,366cd884,3,0,1
56,56,0,1,366d9bd4,4,0,2
57,57,0,1,366e5f24,4,0,2
58,58,0,1,366f2274,4,0,2
59,59,0,1,366fe5c4,4,0,2
60,60,0,1,3670a914,4,0,2
61,61,0,1,36716c64,4,0,2
62,62,0,1,36722fb4,4,0,2
63,63,0,1,3672f304,4,0,2
64,64,0,1,3673b654,4,0,2
65,65,0,1,367479a4,4,0,2
66,66,0,1,36753cf4,4,0,2
67,67,0,1,36760044,4,0,2
68,68,0,1,3676c394,4,0,2
69,69,0,1,367786e4,4,0,2
70,70,0,1,36784a34,4,0,2
71,71,0,1,36790d84,4,0,2
72,72,0,1,3679d0d4,4,0,2
73,73,0,1,367a9424,4,0,2
74,74,0,1,367b5774,4,0,2
75,75,0,1,367c1ac4,4,0,2
76,76,0,1,367cde14,4,0,2
77,77,0,1,367da164,4,0,2
78,78,0,1,367e64b4,4,0,2
79,79,0,1,367f2804,4,0,2
80,80,0,1,367feb54,4,0,2
81,81,0,1,3680aea4,4,0,2
82,82,0,1,368171f4,4,0,2
83,83,0,1,36823544,4,0,2
84,84,0,1,3682f894,4,0,2
85,85,0,1,3683bbe4,4,0,2
86,86,0,1,36847f34,4,0,2
87,87,0,1,36854284,4,0,2
88,88,0,1,368605d4,4,0,2
89,89,0,1,3686c924,4,0,2
90,90,0,1,36878c74,4,0,2
91,91,0,1,36884fc4,4,0,2
92,92,0,1,36891314,4,0,2
93,93,0,1,3689d664,4,0,2
94,94,0,1,368a99b4,4,0,2
95,95,0,1,368b5d04,4,0,2
96,96,0,1,368c2054,4,0,3
97,97,0,1,368ce3a4,5,0,3
